# Backtest method: MAX RELIABILITY (win_rate only)  (by day of week)
# Lookback = 365 calendar days
# Generated 2026-06-12 12:59:35  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Friday,2025-12-26,TSLA,TSLA251226C00477500,477.5,REAL,3:40 PM,0.6,3:55 PM,0.02,-0.58,-58.0,False,
Friday,2026-01-02,TSLA,TSLA260102C00440000,440.0,REAL,3:40 PM,0.28,3:55 PM,0.02,-0.26,-26.0,False,
Friday,2026-01-09,TSLA,TSLA260109C00445000,445.0,REAL,3:40 PM,0.62,3:55 PM,0.48,-0.14,-14.0,False,
Friday,2026-01-16,TSLA,TSLA260116C00440000,440.0,REAL,3:40 PM,0.15,3:55 PM,0.02,-0.13,-13.0,False,
Friday,2026-01-23,TSLA,TSLA260123C00447500,447.5,REAL,3:40 PM,0.57,3:55 PM,1.08,0.51,51.0,True,
Friday,2026-01-30,TSLA,TSLA260130C00432500,432.5,REAL,3:40 PM,0.73,3:55 PM,0.41,-0.32,-32.0,False,
Friday,2026-02-06,TSLA,TSLA260206C00412500,412.5,REAL,3:40 PM,1.39,3:55 PM,0.11,-1.28,-128.0,False,
Friday,2026-02-13,TSLA,TSLA260213C00420000,420.0,REAL,3:40 PM,0.17,3:55 PM,0.02,-0.15,-15.0,False,
Friday,2026-02-20,TSLA,TSLA260220C00410000,410.0,REAL,3:40 PM,1.04,3:55 PM,1.74,0.7,70.0,True,
Friday,2026-02-27,TSLA,TSLA260227C00400000,400.0,REAL,3:40 PM,0.63,3:55 PM,2.87,2.24,224.0,True,
Friday,2026-03-06,TSLA,TSLA260306C00400000,400.0,REAL,3:40 PM,0.21,3:55 PM,0.02,-0.19,-19.0,False,
Friday,2026-03-13,TSLA,TSLA260313C00392500,392.5,REAL,3:40 PM,0.21,3:55 PM,0.15,-0.06,-6.0,False,
Friday,2026-03-20,TSLA,TSLA260320C00367500,367.5,REAL,3:40 PM,0.1,3:55 PM,0.74,0.64,64.0,True,
Friday,2026-03-27,TSLA,TSLA260327C00360000,360.0,REAL,3:40 PM,1.76,3:55 PM,2.18,0.42,42.0,True,
Friday,2026-04-10,TSLA,TSLA260410C00345000,345.0,REAL,3:40 PM,1.84,3:55 PM,3.3,1.46,146.0,True,
Friday,2026-04-17,TSLA,TSLA260417C00402500,402.5,REAL,3:40 PM,0.55,3:55 PM,0.06,-0.49,-49.0,False,
Friday,2026-04-24,TSLA,TSLA260424C00377500,377.5,REAL,3:40 PM,0.55,3:55 PM,0.15,-0.4,-40.0,False,
Friday,2026-05-01,TSLA,TSLA260501C00395000,395.0,REAL,3:40 PM,0.06,3:55 PM,0.01,-0.05,-5.0,False,
Friday,2026-05-08,TSLA,TSLA260508C00427500,427.5,REAL,3:40 PM,0.18,3:55 PM,0.16,-0.02,-2.0,False,
Friday,2026-05-15,TSLA,TSLA260515C00425000,425.0,REAL,3:40 PM,0.45,3:55 PM,0.07,-0.38,-38.0,False,
Friday,2026-05-22,TSLA,TSLA260522C00430000,430.0,REAL,3:40 PM,0.03,3:55 PM,0.01,-0.02,-2.0,False,
Friday,2026-05-29,TSLA,TSLA260529C00435000,435.0,REAL,3:40 PM,0.95,3:55 PM,1.1,0.15,15.0,True,
Friday,2026-06-05,TSLA,TSLA260605C00390000,390.0,REAL,3:40 PM,2.0,3:55 PM,2.38,0.38,38.0,True,
Friday,2025-06-13,MSFT,MSFT250613C00475000,475.0,REAL,3:00 PM,0.42,3:10 PM,0.42,0.0,0.0,False,
Friday,2025-06-20,MSFT,MSFT250620C00477500,477.5,REAL,3:00 PM,0.62,3:10 PM,0.71,0.09,9.0,True,
Friday,2025-06-27,MSFT,MSFT250627C00495000,495.0,REAL,3:00 PM,0.85,3:10 PM,0.88,0.03,3.0,True,
Friday,2025-07-11,MSFT,MSFT250711C00505000,505.0,REAL,3:00 PM,0.03,3:10 PM,0.06,0.03,3.0,True,
Friday,2025-07-18,MSFT,MSFT250718C00510000,510.0,REAL,3:00 PM,1.72,3:10 PM,1.78,0.06,6.0,True,
Friday,2025-07-25,MSFT,MSFT250725C00515000,515.0,REAL,3:00 PM,2.4,3:10 PM,2.01,-0.39,-39.0,False,
Friday,2025-08-01,MSFT,MSFT250801C00525000,525.0,REAL,3:00 PM,0.58,3:10 PM,0.6,0.02,2.0,True,
Friday,2025-08-08,MSFT,MSFT250808C00525000,525.0,REAL,3:00 PM,0.03,3:10 PM,0.01,-0.02,-2.0,False,
Friday,2025-08-15,MSFT,MSFT250815C00525000,525.0,REAL,3:00 PM,0.09,3:10 PM,0.08,-0.01,-1.0,False,
Friday,2025-08-22,MSFT,MSFT250822C00510000,510.0,REAL,3:00 PM,0.05,3:10 PM,0.02,-0.03,-3.0,False,
Friday,2025-08-29,MSFT,MSFT250829C00510000,510.0,REAL,3:00 PM,0.19,3:10 PM,0.2,0.01,1.0,True,
Friday,2025-09-05,MSFT,MSFT250905C00492500,492.5,REAL,3:00 PM,0.95,3:10 PM,1.05,0.1,10.0,True,
Friday,2025-09-12,MSFT,MSFT250912C00510000,510.0,REAL,3:00 PM,2.32,3:10 PM,2.31,-0.01,-1.0,False,
Friday,2025-09-19,MSFT,MSFT250919C00510000,510.0,REAL,3:00 PM,1.72,3:10 PM,1.5,-0.22,-22.0,False,
Friday,2025-09-26,MSFT,MSFT250926C00510000,510.0,REAL,3:00 PM,1.5,3:10 PM,1.6,0.1,10.0,True,
Friday,2025-10-03,MSFT,MSFT251003C00515000,515.0,REAL,3:00 PM,2.62,3:10 PM,3.1,0.48,48.0,True,
Friday,2025-10-10,MSFT,MSFT251010C00515000,515.0,REAL,3:00 PM,1.08,3:10 PM,0.67,-0.41,-41.0,False,
Friday,2025-10-17,MSFT,MSFT251017C00515000,515.0,REAL,3:00 PM,0.55,3:10 PM,0.79,0.24,24.0,True,
Friday,2025-10-24,MSFT,MSFT251024C00525000,525.0,REAL,3:00 PM,0.56,3:10 PM,0.46,-0.1,-10.0,False,
Friday,2025-10-31,MSFT,MSFT251031C00515000,515.0,REAL,3:00 PM,2.48,3:10 PM,2.85,0.37,37.0,True,
Friday,2025-11-07,MSFT,MSFT251107C00495000,495.0,REAL,3:00 PM,1.25,3:10 PM,1.7,0.45,45.0,True,
Friday,2025-11-14,MSFT,MSFT251114C00510000,510.0,REAL,3:00 PM,1.3,3:10 PM,1.45,0.15,15.0,True,
Friday,2025-11-21,MSFT,MSFT251121C00475000,475.0,REAL,3:00 PM,1.06,3:10 PM,0.7,-0.36,-36.0,False,
Friday,2025-12-05,MSFT,MSFT251205C00482500,482.5,REAL,3:00 PM,0.25,3:10 PM,0.1,-0.15,-15.0,False,
Friday,2025-12-12,MSFT,MSFT251212C00477500,477.5,REAL,3:01 PM,0.93,3:10 PM,1.31,0.38,38.0,True,
Friday,2025-12-19,MSFT,MSFT251219C00485000,485.0,REAL,3:00 PM,0.42,3:10 PM,0.35,-0.07,-7.0,False,
Friday,2025-12-26,MSFT,MSFT251226C00487500,487.5,REAL,3:00 PM,0.26,3:10 PM,0.26,0.0,0.0,False,
Friday,2026-01-02,MSFT,MSFT260102C00472500,472.5,REAL,3:00 PM,0.59,3:10 PM,0.63,0.04,4.0,True,
Friday,2026-01-09,MSFT,MSFT260109C00477500,477.5,REAL,3:00 PM,1.3,3:10 PM,1.61,0.31,31.0,True,
Friday,2026-01-16,MSFT,MSFT260116C00462500,462.5,REAL,3:00 PM,0.36,3:10 PM,0.21,-0.15,-15.0,False,
Friday,2026-01-23,MSFT,MSFT260123C00467500,467.5,REAL,3:00 PM,1.27,3:10 PM,0.77,-0.5,-50.0,False,
Friday,2026-01-30,MSFT,MSFT260130C00430000,430.0,REAL,3:00 PM,0.72,3:10 PM,0.29,-0.43,-43.0,False,
Friday,2026-02-06,MSFT,MSFT260206C00400000,400.0,REAL,3:00 PM,0.44,3:10 PM,0.45,0.01,1.0,True,
Friday,2026-02-13,MSFT,MSFT260213C00402500,402.5,REAL,3:00 PM,0.5,3:10 PM,0.41,-0.09,-9.0,False,
Friday,2026-02-20,MSFT,MSFT260220C00397500,397.5,REAL,3:00 PM,0.49,3:10 PM,0.55,0.06,6.0,True,
Friday,2026-02-27,MSFT,MSFT260227C00392500,392.5,REAL,3:00 PM,1.37,3:10 PM,1.6,0.23,23.0,True,
Friday,2026-03-06,MSFT,MSFT260306C00410000,410.0,REAL,3:00 PM,1.07,3:10 PM,1.0,-0.07,-7.0,False,
Friday,2026-03-13,MSFT,MSFT260313C00395000,395.0,REAL,3:00 PM,1.08,3:10 PM,0.75,-0.33,-33.0,False,
Friday,2026-03-20,MSFT,MSFT260320C00382500,382.5,REAL,3:00 PM,0.56,3:10 PM,0.5,-0.06,-6.0,False,
Friday,2026-03-27,MSFT,MSFT260327C00357500,357.5,REAL,3:00 PM,0.76,3:10 PM,0.43,-0.33,-33.0,False,
Friday,2026-04-10,MSFT,MSFT260410C00370000,370.0,REAL,3:00 PM,1.35,3:10 PM,1.45,0.1,10.0,True,
Friday,2026-04-17,MSFT,MSFT260417C00422500,422.5,REAL,3:00 PM,0.46,3:10 PM,0.41,-0.05,-5.0,False,
Friday,2026-04-24,MSFT,MSFT260424C00422500,422.5,REAL,3:00 PM,0.73,3:10 PM,1.34,0.61,61.0,True,
Friday,2026-05-01,MSFT,MSFT260501C00415000,415.0,REAL,3:00 PM,0.59,3:10 PM,0.73,0.14,14.0,True,
Friday,2026-05-08,MSFT,MSFT260508C00415000,415.0,REAL,3:00 PM,0.55,3:10 PM,0.65,0.1,10.0,True,
Friday,2026-05-15,MSFT,MSFT260515C00425000,425.0,REAL,3:00 PM,0.82,3:10 PM,0.88,0.06,6.0,True,
Friday,2026-05-22,MSFT,MSFT260522C00420000,420.0,REAL,3:00 PM,0.23,3:10 PM,0.27,0.04,4.0,True,
