# Backtest method: MAX RELIABILITY (win_rate only)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:09:24  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2025-07-25,NVDA,NVDA250725C00175000,175.0,REAL,3:30 PM,0.02,3:40 PM,0.02,0.0,0.0,False,
2025-07-28,NVDA,NVDA250728C00175000,175.0,SIM,3:30 PM,1.2046,3:40 PM,1.0092,-0.1954,-19.54,False,
2025-07-30,NVDA,NVDA250730C00180000,180.0,SIM,3:30 PM,0.0808,3:40 PM,0.0358,-0.045,-4.5,False,
2025-08-01,NVDA,NVDA250801C00175000,175.0,REAL,3:30 PM,0.03,3:40 PM,0.03,0.0,0.0,False,
2025-08-04,NVDA,NVDA250804C00180000,180.0,SIM,3:30 PM,0.1914,3:40 PM,0.1234,-0.0681,-6.81,False,
2025-08-06,NVDA,NVDA250806C00180000,180.0,SIM,3:30 PM,0.3345,3:40 PM,0.24,-0.0945,-9.45,False,
2025-08-08,NVDA,NVDA250808C00185000,185.0,REAL,3:30 PM,0.03,3:40 PM,0.02,-0.01,-1.0,False,
2025-08-11,NVDA,NVDA250811C00185000,185.0,SIM,3:30 PM,0.0017,3:40 PM,0.0011,-0.0006,-0.06,False,
2025-08-13,NVDA,NVDA250813C00180000,180.0,SIM,3:30 PM,1.3018,3:40 PM,0.9226,-0.3792,-37.92,False,
2025-08-15,NVDA,NVDA250815C00180000,180.0,REAL,3:30 PM,0.15,3:40 PM,0.17,0.02,2.0,True,
2025-08-18,NVDA,NVDA250818C00180000,180.0,SIM,3:30 PM,2.2222,3:40 PM,2.2338,0.0116,1.16,True,
2025-08-20,NVDA,NVDA250820C00175000,175.0,SIM,3:30 PM,0.2551,3:40 PM,0.188,-0.0671,-6.71,False,
2025-08-22,NVDA,NVDA250822C00180000,180.0,REAL,3:30 PM,0.02,3:40 PM,0.01,-0.01,-1.0,False,
2025-08-25,NVDA,NVDA250825C00180000,180.0,SIM,3:30 PM,1.1366,3:40 PM,1.2129,0.0764,7.64,True,
2025-08-27,NVDA,NVDA250827C00180000,180.0,SIM,3:30 PM,1.5929,3:40 PM,1.7025,0.1096,10.96,True,
2025-08-29,NVDA,NVDA250829C00175000,175.0,REAL,3:30 PM,0.04,3:40 PM,0.03,-0.01,-1.0,False,
2025-09-03,NVDA,NVDA250903C00170000,170.0,SIM,3:30 PM,0.2058,3:40 PM,0.1757,-0.0301,-3.01,False,
2025-09-05,NVDA,NVDA250905C00165000,165.0,REAL,3:30 PM,2.1,3:40 PM,1.85,-0.25,-25.0,False,
2025-09-08,NVDA,NVDA250908C00170000,170.0,SIM,3:30 PM,0.1373,3:40 PM,0.2325,0.0952,9.52,True,
2025-09-10,NVDA,NVDA250910C00175000,175.0,SIM,3:30 PM,1.8522,3:40 PM,1.8721,0.0199,1.99,True,
2025-09-12,NVDA,NVDA250912C00180000,180.0,REAL,3:30 PM,0.01,3:40 PM,0.01,0.0,0.0,False,
2025-09-15,NVDA,NVDA250915C00175000,175.0,SIM,3:30 PM,2.1423,3:40 PM,1.9657,-0.1766,-17.66,False,
2025-09-17,NVDA,NVDA250917C00170000,170.0,SIM,3:30 PM,1.1295,3:40 PM,0.7485,-0.381,-38.1,False,
2025-09-19,NVDA,NVDA250919C00175000,175.0,REAL,3:30 PM,1.3,3:40 PM,1.21,-0.09,-9.0,False,
2025-09-22,NVDA,NVDA250922C00185000,185.0,SIM,3:30 PM,0.0256,3:40 PM,0.0035,-0.0221,-2.21,False,
2025-09-24,NVDA,NVDA250924C00175000,175.0,SIM,3:30 PM,2.201,3:40 PM,1.8622,-0.3387,-33.87,False,
2025-09-26,NVDA,NVDA250926C00175000,175.0,REAL,3:30 PM,2.61,3:40 PM,2.68,0.07,7.0,True,
2025-09-29,NVDA,NVDA250929C00180000,180.0,SIM,3:30 PM,1.1573,3:40 PM,1.3272,0.17,17.0,True,
2025-10-01,NVDA,NVDA251001C00185000,185.0,SIM,3:30 PM,2.1608,3:40 PM,1.9628,-0.198,-19.8,False,
2025-10-03,NVDA,NVDA251003C00190000,190.0,REAL,3:30 PM,0.02,3:40 PM,0.01,-0.01,-1.0,False,
2025-10-06,NVDA,NVDA251006C00185000,185.0,SIM,3:30 PM,0.9323,3:40 PM,0.8449,-0.0874,-8.74,False,
2025-10-08,NVDA,NVDA251008C00190000,190.0,SIM,3:30 PM,0.0635,3:40 PM,0.0167,-0.0467,-4.67,False,
2025-10-10,NVDA,NVDA251010C00185000,185.0,REAL,3:30 PM,1.68,3:40 PM,0.68,-1.0,-100.0,False,
2025-10-13,NVDA,NVDA251013C00190000,190.0,SIM,3:30 PM,0.0124,3:40 PM,0.0039,-0.0085,-0.85,False,
2025-10-15,NVDA,NVDA251015C00180000,180.0,SIM,3:30 PM,0.4765,3:40 PM,0.24,-0.2365,-23.65,False,
2025-10-17,NVDA,NVDA251017C00185000,185.0,REAL,3:30 PM,0.03,3:40 PM,0.01,-0.02,-2.0,False,
2025-10-20,NVDA,NVDA251020C00185000,185.0,SIM,3:30 PM,0.0144,3:40 PM,0.0057,-0.0087,-0.87,False,
2025-10-22,NVDA,NVDA251022C00180000,180.0,SIM,3:30 PM,0.2307,3:40 PM,0.3301,0.0994,9.94,True,
2025-10-24,NVDA,NVDA251024C00185000,185.0,REAL,3:30 PM,1.77,3:40 PM,1.64,-0.13,-13.0,False,
2025-10-27,NVDA,NVDA251027C00190000,190.0,SIM,3:30 PM,1.0687,3:40 PM,0.8523,-0.2164,-21.64,False,
2025-10-29,NVDA,NVDA251029C00207500,207.5,SIM,3:30 PM,0.4831,3:40 PM,0.4856,0.0025,0.25,True,
2025-10-31,NVDA,NVDA251031C00202500,202.5,REAL,3:30 PM,1.79,3:40 PM,1.75,-0.04,-4.0,False,
2025-11-03,NVDA,NVDA251103C00207500,207.5,SIM,3:30 PM,0.2886,3:40 PM,0.2476,-0.041,-4.1,False,
2025-11-05,NVDA,NVDA251105C00202500,202.5,SIM,3:30 PM,0.0014,3:40 PM,0.0,-0.0014,-0.14,False,
2025-11-07,NVDA,NVDA251107C00185000,185.0,REAL,3:30 PM,1.83,3:40 PM,2.17,0.34,34.0,True,
2025-11-10,NVDA,NVDA251110C00200000,200.0,SIM,3:30 PM,0.1119,3:40 PM,0.1562,0.0443,4.43,True,
2025-11-12,NVDA,NVDA251112C00190000,190.0,SIM,3:30 PM,2.4115,3:40 PM,2.6527,0.2413,24.13,True,
2025-11-14,NVDA,NVDA251114C00190000,190.0,REAL,3:30 PM,0.4,3:40 PM,0.3,-0.1,-10.0,False,
2025-11-17,NVDA,NVDA251117C00185000,185.0,SIM,3:30 PM,0.5746,3:40 PM,0.3078,-0.2668,-26.68,False,
2025-11-19,NVDA,NVDA251119C00185000,185.0,SIM,3:30 PM,1.8113,3:40 PM,1.6322,-0.1791,-17.91,False,
2025-11-21,NVDA,NVDA251121C00180000,180.0,REAL,3:30 PM,0.76,3:40 PM,0.55,-0.21,-21.0,False,
2025-11-24,NVDA,NVDA251124C00180000,180.0,SIM,3:30 PM,1.4474,3:40 PM,1.4205,-0.0269,-2.69,False,
2025-11-26,NVDA,NVDA251126C00180000,180.0,SIM,3:30 PM,0.8232,3:40 PM,0.4598,-0.3633,-36.33,False,
2025-12-01,NVDA,NVDA251201C00180000,180.0,SIM,3:30 PM,0.2119,3:40 PM,0.225,0.0131,1.31,True,
2025-12-03,NVDA,NVDA251203C00180000,180.0,SIM,3:30 PM,0.438,3:40 PM,0.2537,-0.1843,-18.43,False,
2025-12-05,NVDA,NVDA251205C00180000,180.0,REAL,3:30 PM,1.74,3:40 PM,1.92,0.18,18.0,True,
2025-12-08,NVDA,NVDA251208C00185000,185.0,SIM,3:30 PM,0.3507,3:40 PM,0.1385,-0.2122,-21.22,False,
2025-12-10,NVDA,NVDA251210C00185000,185.0,SIM,3:30 PM,0.0693,3:40 PM,0.0428,-0.0265,-2.65,False,
2025-12-12,NVDA,NVDA251212C00175000,175.0,REAL,3:30 PM,0.88,3:40 PM,0.68,-0.2,-20.0,False,
2025-12-15,NVDA,NVDA251215C00175000,175.0,SIM,3:30 PM,1.226,3:40 PM,1.5557,0.3298,32.98,True,
2025-12-17,NVDA,NVDA251217C00170000,170.0,SIM,3:30 PM,1.369,3:40 PM,1.5247,0.1557,15.57,True,
2025-12-19,NVDA,NVDA251219C00180000,180.0,REAL,3:30 PM,0.65,3:40 PM,0.74,0.09,9.0,True,
2025-12-22,NVDA,NVDA251222C00185000,185.0,SIM,3:30 PM,0.0374,3:40 PM,0.02,-0.0174,-1.74,False,
2025-12-26,NVDA,NVDA251226C00190000,190.0,REAL,3:30 PM,1.43,3:40 PM,1.55,0.12,12.0,True,
2025-12-29,NVDA,NVDA251229C00190000,190.0,SIM,3:30 PM,0.0185,3:40 PM,0.004,-0.0145,-1.45,False,
2025-12-31,NVDA,NVDA251231C00190000,190.0,SIM,3:30 PM,0.0036,3:40 PM,0.0004,-0.0032,-0.32,False,
2026-01-02,NVDA,NVDA260102C00190000,190.0,REAL,3:30 PM,0.03,3:40 PM,0.02,-0.01,-1.0,False,
2026-01-05,NVDA,NVDA260105C00185000,185.0,SIM,3:30 PM,2.41,3:40 PM,2.6575,0.2475,24.75,True,
2026-01-07,NVDA,NVDA260107C00190000,190.0,SIM,3:30 PM,0.1193,3:40 PM,0.0666,-0.0526,-5.26,False,
2026-01-09,NVDA,NVDA260109C00185000,185.0,REAL,3:30 PM,0.5,3:40 PM,0.3,-0.2,-20.0,False,
2026-01-12,NVDA,NVDA260112C00185000,185.0,SIM,3:30 PM,1.116,3:40 PM,0.7307,-0.3853,-38.53,False,
2026-01-14,NVDA,NVDA260114C00180000,180.0,SIM,3:30 PM,2.3988,3:40 PM,2.7222,0.3234,32.34,True,
2026-01-16,NVDA,NVDA260116C00190000,190.0,REAL,3:30 PM,0.01,3:40 PM,0.01,0.0,0.0,False,
