"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 135 calendar days
# Generated 2026-06-14 19:03:22  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Wednesday,2026-03-11,MSFT,MSFT260311P00405000,405.0,REAL,3:21 PM,1.41,3:35 PM,0.92,-0.49,1,141.0,-49.0,False,
Wednesday,2026-03-18,MSFT,MSFT260318P00392500,392.5,REAL,3:20 PM,0.6,3:35 PM,0.65,0.05,2,120.0,10.0,True,
Wednesday,2026-03-25,MSFT,MSFT260325P00370000,370.0,REAL,3:20 PM,0.2,3:34 PM,0.21,0.01,5,100.0,5.0,True,
Wednesday,2026-04-01,MSFT,MSFT260401P00370000,370.0,REAL,3:20 PM,1.0,3:35 PM,1.0,0.0,1,100.0,0.0,False,
Wednesday,2026-04-08,MSFT,MSFT260408P00372500,372.5,REAL,3:20 PM,1.16,3:35 PM,0.68,-0.48,1,116.0,-48.0,False,
Wednesday,2026-04-15,MSFT,MSFT260415P00415000,415.0,REAL,3:20 PM,2.0,3:35 PM,3.0,1.0,1,200.0,100.0,True,
Wednesday,2026-04-22,MSFT,MSFT260422P00432500,432.5,REAL,3:20 PM,1.5,3:35 PM,0.91,-0.59,1,150.0,-59.0,False,
Wednesday,2026-04-29,MSFT,MSFT260429P00425000,425.0,SIM,3:20 PM,1.1879,3:35 PM,1.4081,0.2203,1,118.79,22.03,True,
Wednesday,2026-05-06,MSFT,MSFT260506P00412500,412.5,REAL,3:20 PM,0.12,3:35 PM,0.35,0.23,9,108.0,207.0,True,
Wednesday,2026-05-13,MSFT,MSFT260513P00405000,405.0,REAL,3:20 PM,0.31,3:35 PM,0.54,0.23,4,124.0,92.0,True,
Wednesday,2026-05-20,MSFT,MSFT260520P00420000,420.0,REAL,3:20 PM,0.67,3:35 PM,0.44,-0.23,2,134.0,-46.0,False,
Wednesday,2026-05-27,MSFT,MSFT260527P00412500,412.5,REAL,3:20 PM,0.34,3:35 PM,0.66,0.32,3,102.0,96.0,True,
Wednesday,2026-06-03,MSFT,MSFT260603P00427500,427.5,REAL,3:20 PM,0.43,3:35 PM,0.45,0.02,3,129.0,6.0,True,
Wednesday,2026-06-10,MSFT,MSFT260610P00400000,400.0,REAL,3:20 PM,1.05,3:35 PM,1.38,0.33,1,105.0,33.0,True,

SUMMARY BY DAY
day_of_week,ticker,optimal_entry,optimal_exit,trades,wins,win_rate,total_pnl_dollars,avg_pnl_dollars,best_day,worst_day,skipped_no_data,premium_spent,return_on_spend
Wednesday,AAPL,3:15 PM,3:25 PM,19,7,0.3684,261.0,13.74,207.0,-95.0,0,2290.0,0.1140
Wednesday,NVDA,3:45 PM,3:50 PM,19,11,0.5789,568.69,29.93,150.0,-72.0,0,2264.72,0.2511
Wednesday,TSLA,3:45 PM,3:55 PM,19,7,0.3684,1321.83,69.57,1750.0,-128.0,0,2755.64,0.4797
Wednesday,MSFT,3:20 PM,3:35 PM,19,12,0.6316,434.03,22.84,207.0,-108.0,0,2655.79,0.1634

"DAY COMBINATION COMPARISON (per equity, then ALL combined)"
ticker,combination,days_included,trades,wins,win_rate,total_pnl_dollars,avg_pnl_dollars
AAPL,Wednesday only,Wednesday,19,7,0.3684,261.0,13.74
NVDA,Wednesday only,Wednesday,19,11,0.5789,568.69,29.93
TSLA,Wednesday only,Wednesday,19,7,0.3684,1321.83,69.57
MSFT,Wednesday only,Wednesday,19,12,0.6316,434.03,22.84
ALL,Wednesday only,Wednesday,76,37,0.4868,2585.55,34.02
