# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:00:13  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2025-12-03,AAPL,AAPL251203C00285000,285.0,SIM,3:45 PM,0.3178,3:50 PM,0.1613,-0.1565,-15.65,False,
2025-12-05,AAPL,AAPL251205C00280000,280.0,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,0.0,False,
2025-12-08,AAPL,AAPL251208C00277500,277.5,SIM,3:45 PM,0.4037,3:50 PM,0.2651,-0.1386,-13.86,False,
2025-12-10,AAPL,AAPL251210C00280000,280.0,SIM,3:45 PM,0.1723,3:50 PM,0.121,-0.0513,-5.13,False,
2025-12-12,AAPL,AAPL251212C00277500,277.5,REAL,3:45 PM,0.4,3:50 PM,0.58,0.18,18.0,True,
2025-12-15,AAPL,AAPL251215C00272500,272.5,SIM,3:45 PM,1.435,3:50 PM,1.9983,0.5633,56.33,True,
2025-12-17,AAPL,AAPL251217C00275000,275.0,SIM,3:45 PM,0.0408,3:50 PM,0.0037,-0.0371,-3.71,False,
2025-12-19,AAPL,AAPL251219C00272500,272.5,REAL,3:45 PM,0.13,3:50 PM,0.06,-0.07,-7.0,False,
2025-12-22,AAPL,AAPL251222C00270000,270.0,SIM,3:45 PM,0.881,3:50 PM,0.7731,-0.1079,-10.79,False,
2025-12-26,AAPL,AAPL251226C00275000,275.0,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,0.0,False,
2025-12-29,AAPL,AAPL251229C00275000,275.0,SIM,3:45 PM,0.0796,3:50 PM,0.0572,-0.0225,-2.25,False,
2025-12-31,AAPL,AAPL251231C00272500,272.5,SIM,3:45 PM,0.5896,3:50 PM,0.314,-0.2756,-27.56,False,
2026-01-02,AAPL,AAPL260102C00270000,270.0,REAL,3:45 PM,0.75,3:50 PM,0.73,-0.02,-2.0,False,
2026-01-05,AAPL,AAPL260105C00267500,267.5,SIM,3:45 PM,0.4187,3:50 PM,0.4162,-0.0025,-0.25,False,
2026-01-07,AAPL,AAPL260107C00262500,262.5,SIM,3:45 PM,0.0232,3:50 PM,0.0038,-0.0195,-1.95,False,
2026-01-09,AAPL,AAPL260109C00260000,260.0,REAL,3:45 PM,0.11,3:50 PM,0.01,-0.1,-10.0,False,
2026-01-12,AAPL,AAPL260112C00260000,260.0,SIM,3:45 PM,0.8957,3:50 PM,0.5429,-0.3528,-35.28,False,
2026-01-14,AAPL,AAPL260114C00257500,257.5,SIM,3:45 PM,2.5662,3:50 PM,1.834,-0.7322,-73.22,False,
2026-01-16,AAPL,AAPL260116C00257500,257.5,REAL,3:45 PM,0.01,3:51 PM,0.01,0.0,0.0,False,
2026-01-21,AAPL,AAPL260121C00250000,250.0,SIM,3:45 PM,0.0138,3:50 PM,0.0001,-0.0137,-1.37,False,
2026-01-23,AAPL,AAPL260123C00247500,247.5,REAL,3:45 PM,1.19,3:50 PM,1.12,-0.07,-7.0,False,
2026-01-26,AAPL,AAPL260126C00255000,255.0,SIM,3:45 PM,0.7982,3:50 PM,0.4457,-0.3525,-35.25,False,
2026-01-28,AAPL,AAPL260128C00257500,257.5,SIM,3:45 PM,0.103,3:50 PM,0.0449,-0.0582,-5.82,False,
2026-01-30,AAPL,AAPL260130C00257500,257.5,REAL,3:45 PM,3.77,3:50 PM,3.89,0.12,12.0,True,
2026-02-02,AAPL,AAPL260202C00267500,267.5,REAL,3:45 PM,2.27,3:50 PM,2.58,0.31,31.0,True,
2026-02-04,AAPL,AAPL260204C00275000,275.0,REAL,3:45 PM,2.5,3:50 PM,3.7,1.2,120.0,True,
2026-02-06,AAPL,AAPL260206C00277500,277.5,REAL,3:45 PM,0.8,3:50 PM,0.82,0.02,2.0,True,
2026-02-09,AAPL,AAPL260209C00272500,272.5,REAL,3:45 PM,1.37,3:50 PM,2.21,0.84,84.0,True,
2026-02-11,AAPL,AAPL260211C00277500,277.5,REAL,3:45 PM,0.03,3:50 PM,0.01,-0.02,-2.0,False,
