"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 135 calendar days
# Generated 2026-06-14 19:06:48  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Friday,2026-02-20,MSFT,MSFT260220P00397500,397.5,REAL,3:24 PM,0.65,3:35 PM,1.03,0.38,2,130.0,76.0,True,
Friday,2026-02-27,MSFT,MSFT260227P00392500,392.5,REAL,3:25 PM,0.19,3:35 PM,0.41,0.22,6,114.0,132.0,True,
Friday,2026-03-06,MSFT,MSFT260306P00410000,410.0,REAL,3:25 PM,0.75,3:35 PM,1.2,0.45,2,150.0,90.0,True,
Friday,2026-03-13,MSFT,MSFT260313P00395000,395.0,REAL,3:25 PM,0.87,3:35 PM,0.47,-0.4,2,174.0,-80.0,False,
Friday,2026-03-20,MSFT,MSFT260320P00382500,382.5,REAL,3:25 PM,1.55,3:35 PM,2.16,0.61,1,155.0,61.0,True,
Friday,2026-03-27,MSFT,MSFT260327P00357500,357.5,REAL,3:25 PM,0.48,3:35 PM,0.51,0.03,3,144.0,9.0,True,
Friday,2026-04-10,MSFT,MSFT260410P00370000,370.0,REAL,3:25 PM,0.02,3:35 PM,0.05,0.03,50,100.0,150.0,True,
Friday,2026-04-17,MSFT,MSFT260417P00422500,422.5,REAL,3:25 PM,0.43,3:35 PM,0.36,-0.07,3,129.0,-21.0,False,
Friday,2026-04-24,MSFT,MSFT260424P00422500,422.5,REAL,3:25 PM,0.28,3:35 PM,0.25,-0.03,4,112.0,-12.0,False,
Friday,2026-05-01,MSFT,MSFT260501P00415000,415.0,REAL,3:25 PM,0.31,3:35 PM,0.22,-0.09,4,124.0,-36.0,False,
Friday,2026-05-08,MSFT,MSFT260508P00415000,415.0,REAL,3:25 PM,0.85,3:35 PM,0.75,-0.1,2,170.0,-20.0,False,
Friday,2026-05-15,MSFT,MSFT260515P00425000,425.0,REAL,3:25 PM,1.2,3:35 PM,1.32,0.12,1,120.0,12.0,True,
Friday,2026-05-22,MSFT,MSFT260522P00420000,420.0,REAL,3:25 PM,1.26,3:35 PM,1.85,0.59,1,126.0,59.0,True,
Friday,2026-05-29,MSFT,MSFT260529P00442500,442.5,REAL,3:25 PM,1.0,3:35 PM,0.82,-0.18,1,100.0,-18.0,False,
Friday,2026-06-05,MSFT,MSFT260605P00417500,417.5,REAL,3:25 PM,2.04,3:35 PM,1.42,-0.62,1,204.0,-62.0,False,
Friday,2026-06-12,MSFT,MSFT260612P00387500,387.5,REAL,3:24 PM,0.05,3:35 PM,0.12,0.07,20,100.0,140.0,True,

SUMMARY BY DAY
day_of_week,ticker,optimal_entry,optimal_exit,trades,wins,win_rate,total_pnl_dollars,avg_pnl_dollars,best_day,worst_day,skipped_no_data,premium_spent,return_on_spend
Friday,AAPL,3:05 PM,3:35 PM,19,12,0.6316,1324.0,69.68,1062.0,-124.0,0,2383.0,0.5556
Friday,NVDA,3:15 PM,3:50 PM,19,11,0.5789,1646.0,86.63,918.0,-104.0,0,2612.0,0.6302
Friday,TSLA,3:50 PM,3:55 PM,19,6,0.3158,1927.0,101.42,2076.0,-176.0,0,3563.0,0.5408
Friday,MSFT,3:25 PM,3:35 PM,19,10,0.5263,417.0,21.95,150.0,-80.0,0,2733.0,0.1526

"DAY COMBINATION COMPARISON (per equity, then ALL combined)"
ticker,combination,days_included,trades,wins,win_rate,total_pnl_dollars,avg_pnl_dollars
AAPL,Friday only,Friday,19,12,0.6316,1324.0,69.68
NVDA,Friday only,Friday,19,11,0.5789,1646.0,86.63
TSLA,Friday only,Friday,19,6,0.3158,1927.0,101.42
MSFT,Friday only,Friday,19,10,0.5263,417.0,21.95
ALL,Friday only,Friday,76,39,0.5132,5314.0,69.92
