ticker,entry_date,entry_ref,exit_date,exit_ref,weekly_return,weekly_return_pct,bucket,entry_ref_date,exit_ref_date,entry_fallback,exit_fallback,n_entry_bars,n_exit_bars
NVDA,2025-09-12,177.7885,2025-09-19,176.3735,-0.007959,-0.80%,flat,2025-09-12,2025-09-19,False,False,10,10
NVDA,2025-09-19,176.3735,2025-09-26,177.965,0.009023,0.90%,flat,2025-09-19,2025-09-26,False,False,10,10
NVDA,2025-09-26,177.965,2025-10-03,187.6695,0.054530,5.45%,up,2025-09-26,2025-10-03,False,False,10,10
NVDA,2025-10-03,187.6695,2025-10-10,184.058,-0.019244,-1.92%,down,2025-10-03,2025-10-10,False,False,10,10
NVDA,2025-10-10,184.058,2025-10-17,183.0785,-0.005322,-0.53%,flat,2025-10-10,2025-10-17,False,False,10,10
NVDA,2025-10-17,183.0785,2025-10-24,186.295,0.017569,1.76%,up,2025-10-17,2025-10-24,False,False,10,10
NVDA,2025-10-24,186.295,2025-10-31,203.3845,0.091734,9.17%,up,2025-10-24,2025-10-31,False,False,10,10
NVDA,2025-10-31,203.3845,2025-11-07,187.604,-0.077589,-7.76%,down,2025-10-31,2025-11-07,False,False,10,10
NVDA,2025-11-07,187.604,2025-11-14,190.0905,0.013254,1.33%,flat,2025-11-07,2025-11-14,False,False,10,10
NVDA,2025-11-14,190.0905,2025-11-21,179.243,-0.057065,-5.71%,down,2025-11-14,2025-11-21,False,False,10,10
NVDA,2025-11-21,179.243,2025-11-28,180.157,0.005099,0.51%,flat,2025-11-21,2025-11-26,False,True,10,10
NVDA,2025-11-28,180.157,2025-12-05,181.9435,0.009916,0.99%,flat,2025-11-26,2025-12-05,True,False,10,10
NVDA,2025-12-05,181.9435,2025-12-12,174.913,-0.038641,-3.86%,down,2025-12-05,2025-12-12,False,False,10,10
NVDA,2025-12-12,174.913,2025-12-19,180.757,0.033411,3.34%,up,2025-12-12,2025-12-19,False,False,10,10
NVDA,2025-12-19,180.757,2025-12-26,190.855,0.055865,5.59%,up,2025-12-19,2025-12-26,False,False,10,10
NVDA,2025-12-26,190.855,2026-01-02,188.6245,-0.011687,-1.17%,flat,2025-12-26,2026-01-02,False,False,10,10
NVDA,2026-01-02,188.6245,2026-01-09,184.997,-0.019231,-1.92%,down,2026-01-02,2026-01-09,False,False,10,10
NVDA,2026-01-09,184.997,2026-01-16,186.834,0.009930,0.99%,flat,2026-01-09,2026-01-16,False,False,10,10
NVDA,2026-01-16,186.834,2026-01-23,187.587,0.004030,0.40%,flat,2026-01-16,2026-01-23,False,False,10,10
NVDA,2026-01-23,187.587,2026-01-30,191.094,0.018695,1.87%,up,2026-01-23,2026-01-30,False,False,10,10
NVDA,2026-01-30,191.094,2026-02-06,186.153,-0.025856,-2.59%,down,2026-01-30,2026-02-06,False,False,10,10
NVDA,2026-02-06,186.153,2026-02-13,182.7075,-0.018509,-1.85%,down,2026-02-06,2026-02-13,False,False,10,10
NVDA,2026-02-13,182.7075,2026-02-20,189.7725,0.038668,3.87%,up,2026-02-13,2026-02-20,False,False,10,10
NVDA,2026-02-20,189.7725,2026-02-27,177.188,-0.066314,-6.63%,down,2026-02-20,2026-02-27,False,False,10,10
NVDA,2026-02-27,177.188,2026-03-06,177.9665,0.004394,0.44%,flat,2026-02-27,2026-03-06,False,False,10,10
NVDA,2026-03-06,177.9665,2026-03-13,180.1655,0.012356,1.24%,flat,2026-03-06,2026-03-13,False,False,10,10
NVDA,2026-03-13,180.1655,2026-03-20,172.673,-0.041587,-4.16%,down,2026-03-13,2026-03-20,False,False,10,10
NVDA,2026-03-20,172.673,2026-03-27,167.482,-0.030063,-3.01%,down,2026-03-20,2026-03-27,False,False,10,10
NVDA,2026-03-27,167.482,2026-04-03,177.295,0.058591,5.86%,up,2026-03-27,2026-04-02,False,True,10,10
NVDA,2026-04-03,177.295,2026-04-10,188.481,0.063093,6.31%,up,2026-04-02,2026-04-10,True,False,10,10
NVDA,2026-04-10,188.481,2026-04-17,201.508,0.069116,6.91%,up,2026-04-10,2026-04-17,False,False,10,10
NVDA,2026-04-17,201.508,2026-04-24,207.9975,0.032205,3.22%,up,2026-04-17,2026-04-24,False,False,10,10
NVDA,2026-04-24,207.9975,2026-05-01,198.7575,-0.044424,-4.44%,down,2026-04-24,2026-05-01,False,False,10,10
NVDA,2026-05-01,198.7575,2026-05-08,215.1275,0.082362,8.24%,up,2026-05-01,2026-05-08,False,False,10,10
NVDA,2026-05-08,215.1275,2026-05-15,225.599,0.048676,4.87%,up,2026-05-08,2026-05-15,False,False,10,10
NVDA,2026-05-15,225.599,2026-05-22,215.539,-0.044592,-4.46%,down,2026-05-15,2026-05-22,False,False,10,10
NVDA,2026-05-22,215.539,2026-05-29,212.7535,-0.012923,-1.29%,flat,2026-05-22,2026-05-29,False,False,10,10
NVDA,2026-05-29,212.7535,2026-06-05,205.993,-0.031776,-3.18%,down,2026-05-29,2026-06-05,False,False,10,10
NVDA,2026-06-05,205.993,2026-06-12,204.8215,-0.005687,-0.57%,flat,2026-06-05,2026-06-12,False,False,10,10
NVDA,2026-06-12,204.8215,2026-06-19,210.971,0.030024,3.00%,up,2026-06-12,2026-06-18,False,True,10,10
NVDA,2026-06-19,210.971,2026-06-26,193.594,-0.082367,-8.24%,down,2026-06-18,2026-06-26,True,False,10,10
ORCL,2024-06-28,141.309,2024-07-05,144.749,0.024344,2.43%,up,2024-06-28,2024-07-05,False,False,10,10
ORCL,2024-07-05,144.749,2024-07-12,144.5035,-0.001696,-0.17%,flat,2024-07-05,2024-07-12,False,False,10,10
ORCL,2024-07-12,144.5035,2024-07-19,138.277,-0.043089,-4.31%,down,2024-07-12,2024-07-19,False,False,10,10
ORCL,2024-07-19,138.277,2024-07-26,138.9005,0.004509,0.45%,flat,2024-07-19,2024-07-26,False,False,10,10
ORCL,2024-07-26,138.9005,2024-08-02,133.2525,-0.040662,-4.07%,down,2024-07-26,2024-08-02,False,False,10,10
ORCL,2024-08-02,133.2525,2024-08-09,132.036,-0.009129,-0.91%,flat,2024-08-02,2024-08-09,False,False,10,10
ORCL,2024-08-09,132.036,2024-08-16,137.3425,0.040190,4.02%,up,2024-08-09,2024-08-16,False,False,10,10
ORCL,2024-08-16,137.3425,2024-08-23,139.1175,0.012924,1.29%,flat,2024-08-16,2024-08-23,False,False,10,10
ORCL,2024-08-23,139.1175,2024-08-30,141.453,0.016788,1.68%,up,2024-08-23,2024-08-30,False,False,10,10
ORCL,2024-08-30,141.453,2024-09-06,141.8415,0.002746,0.27%,flat,2024-08-30,2024-09-06,False,False,10,10
